2024-11-20 23:20:13,605 - hopfield - INFO - Red inicializada con 16 nodos
2024-11-20 23:20:13,605 - hopfield - INFO - Iniciando optimización...
2024-11-20 23:20:13,606 - hopfield - INFO - Convergencia alcanzada en iteración 1
2024-11-21 11:38:58,735 - hopfield - INFO - Red inicializada con 16 nodos
2024-11-21 11:38:58,735 - hopfield - INFO - Iniciando optimización...
2024-11-21 11:38:58,736 - hopfield - INFO - Convergencia alcanzada en iteración 1
2024-11-21 12:34:57,833 - hopfield - INFO - Iniciando optimización de sitios...
2024-11-21 16:49:32,465 - hopfield - INFO - Iteración 600: Energía = -1.0000, Sitios = 1
2024-11-21 16:49:32,467 - hopfield - INFO - Iteración 700: Energía = -1.0000, Sitios = 1
2024-11-21 16:49:32,470 - hopfield - INFO - Iteración 800: Energía = -1.0000, Sitios = 1
2024-11-21 16:49:32,473 - hopfield - INFO - Iteración 900: Energía = -1.0000, Sitios = 1
2024-11-21 16:52:17,563 - hopfield - INFO - Red Hopfield inicializada: 11 sitios, distancia mín: 50.0km
2024-11-21 16:52:17,563 - hopfield - INFO - Iteración 0: Energía = -0.7000, Sitios = 1
2024-11-21 16:52:17,566 - hopfield - INFO - Iteración 100: Energía = -0.7000, Sitios = 1
2024-11-21 16:52:17,570 - hopfield - INFO - Iteración 200: Energía = -0.7000, Sitios = 1
2024-11-21 16:52:17,572 - hopfield - INFO - Iteración 300: Energía = -0.7000, Sitios = 1
2024-11-21 16:52:17,575 - hopfield - INFO - Iteración 400: Energía = -0.7000, Sitios = 1
2024-11-21 16:52:17,578 - hopfield - INFO - Iteración 500: Energía = -0.7000, Sitios = 1
2024-11-21 16:52:17,581 - hopfield - INFO - Iteración 600: Energía = -0.7000, Sitios = 1
2024-11-21 16:52:17,583 - hopfield - INFO - Iteración 700: Energía = -0.7000, Sitios = 1
2024-11-21 16:52:17,586 - hopfield - INFO - Iteración 800: Energía = -0.7000, Sitios = 1
2024-11-21 16:52:17,589 - hopfield - INFO - Iteración 900: Energía = -0.7000, Sitios = 1
